Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description
2024-11-06,22:36:21,T7968964,AC33933300,Kabir,AC30485863,Adani Enterprises,Utilities,5495.33,Debit,Auto-generated transaction details
2024-11-06,22:36:21,T6411473,AC64109528,Wipro,AC71208481,Maruti Suzuki,Transport,3286.78,Debit,Auto-generated transaction details
2024-11-06,22:36:21,T6045915,AC52712779,Arjun,AC56759612,Siddharth,Shopping,3220.21,Debit,Auto-generated transaction details
2024-11-06,22:36:21,T9609801,AC48197794,Arjun,AC98188134,Hindustan Unilever,Shopping,1606.62,Credit,Auto-generated transaction details
2024-11-06,22:36:21,T3890904,AC74718374,Siddharth,AC45044684,Maruti Suzuki,Utilities,2088.04,Credit,Auto-generated transaction details
2024-11-06,22:36:21,T1806908,AC95732075,Nikhil,AC93676351,Larsen & Toubro,Shopping,3259.72,Credit,Auto-generated transaction details
2024-11-06,22:36:21,T7184977,AC27126895,State Bank of India,AC59590338,Bajaj Finserv,Healthcare,3826.92,Credit,Auto-generated transaction details
2024-11-06,22:36:21,T2316547,AC27371706,Siddharth,AC77158346,Neha,Food,2418.45,Credit,Auto-generated transaction details
2024-11-06,22:36:21,T3997042,AC60430391,Aarav,AC76178706,Aarav,Transport,5074.25,Credit,Auto-generated transaction details
2024-11-06,22:36:21,T2720603,AC71463146,Meera,AC77805829,Kabir,Food,2358.74,Credit,Auto-generated transaction details
2024-11-07,22:36:21,T3192577,AC78138176,Nikhil,AC66843357,Wipro,Shopping,7586.09,Credit,Auto-generated transaction details
2024-11-07,22:36:21,T8532450,AC77791689,Infosys,AC20088386,Rajesh,Food,6200.97,Credit,Auto-generated transaction details
2024-11-08,22:36:21,T6180934,AC17752062,Meera,AC45673343,Arjun,Healthcare,4762.62,Credit,Auto-generated transaction details
2024-11-08,22:36:21,T7590531,AC58758351,Bajaj Finserv,AC85217613,Rohan,Utilities,4993.88,Credit,Auto-generated transaction details
2024-11-08,22:36:21,T9019353,AC44029733,Bajaj Finserv,AC69118183,Lakshmi,Miscellaneous,1871.05,Debit,Auto-generated transaction details
2024-11-09,22:36:21,T7670108,AC83434109,Tata Consultancy Services,AC64552478,HDFC Bank,Food,9388.2,Credit,Auto-generated transaction details
2024-11-09,22:36:21,T3511475,AC98988308,Rajesh,AC23045801,Mahindra & Mahindra,Education,7747.1,Debit,Auto-generated transaction details
2024-11-09,22:36:21,T5290390,AC75553361,Diya,AC10293658,Mahindra & Mahindra,Entertainment,9879.53,Debit,Auto-generated transaction details
2024-11-09,22:36:21,T3987192,AC21089364,Wipro,AC48266320,Axis Bank,Education,2190.2,Credit,Auto-generated transaction details
2024-11-09,22:36:21,T6382968,AC26378998,Infosys,AC28097901,Axis Bank,Miscellaneous,9144.65,Debit,Auto-generated transaction details
2024-11-09,22:36:21,T9611199,AC22130298,Lakshmi,AC59781589,Infosys,Food,2587.41,Credit,Auto-generated transaction details
2024-11-10,22:36:21,T5212232,AC51713431,Priya,AC70221780,Priya,Food,5966.65,Credit,Auto-generated transaction details
2024-11-10,22:36:21,T9803406,AC41667352,Aarav,AC68394125,Lakshmi,Entertainment,9798.57,Debit,Auto-generated transaction details
2024-11-10,22:36:21,T2482122,AC76588861,Maruti Suzuki,AC24711199,Ananya,Food,3325.37,Debit,Auto-generated transaction details
2024-11-10,22:36:21,T9972419,AC57470350,Karthik,AC10352089,Hindustan Unilever,Food,6854.63,Credit,Auto-generated transaction details
2024-11-11,22:36:21,T8175720,AC49751879,Adani Enterprises,AC70824973,Lakshmi,Healthcare,3649.26,Credit,Auto-generated transaction details
2024-11-11,22:36:21,T8252828,AC72007463,Vikram,AC94044441,Rajesh,Healthcare,7032.94,Debit,Auto-generated transaction details
2024-11-11,22:36:21,T2686137,AC64550576,Rajesh,AC32729186,Nikhil,Healthcare,7151.54,Credit,Auto-generated transaction details
2024-11-11,22:36:21,T2741770,AC78324603,Larsen & Toubro,AC12715840,Lakshmi,Transport,6003.47,Credit,Auto-generated transaction details
2024-11-11,22:36:21,T8379477,AC57027504,Adani Enterprises,AC55328931,Tata Consultancy Services,Healthcare,7927.49,Debit,Auto-generated transaction details
2024-11-11,22:36:21,T9234802,AC13097947,Ishita,AC15819785,Axis Bank,Utilities,9848.43,Debit,Auto-generated transaction details
2024-11-11,22:36:21,T8823896,AC30764844,Reliance Industries,AC90849175,Rajesh,Miscellaneous,8954.97,Credit,Auto-generated transaction details
2024-11-11,22:36:21,T9840584,AC97331452,Bajaj Finserv,AC66993161,Lakshmi,Transport,9199.38,Debit,Auto-generated transaction details
2024-11-12,22:36:21,T9848814,AC23669522,Karthik,AC77518545,Mahindra & Mahindra,Shopping,2522.26,Debit,Auto-generated transaction details
2024-11-13,22:36:21,T9127438,AC36454580,Akash,AC88920902,Vikram,Healthcare,9915.74,Credit,Auto-generated transaction details
2024-11-14,22:36:21,T4180945,AC74273054,Pooja,AC18484261,Bajaj Finserv,Education,8439.21,Credit,Auto-generated transaction details
2024-11-14,22:36:21,T1636383,AC80174446,Pooja,AC71808735,Priya,Entertainment,7091.47,Credit,Auto-generated transaction details
2024-11-15,22:36:21,T3949547,AC53696251,State Bank of India,AC82691248,Kabir,Transport,8138.95,Credit,Auto-generated transaction details
2024-11-15,22:36:21,T9093979,AC66439362,Karthik,AC27961648,Diya,Education,9686.32,Credit,Auto-generated transaction details
2024-11-15,22:36:21,T8689214,AC20402122,Ishita,AC41026036,HDFC Bank,Miscellaneous,2088.97,Debit,Auto-generated transaction details
2024-11-15,22:36:21,T4294378,AC70317844,Rajesh,AC47794828,Wipro,Entertainment,8163.68,Credit,Auto-generated transaction details
2024-11-15,22:36:21,T2536083,AC83668725,Aditi,AC36460058,Rajesh,Healthcare,5794.86,Debit,Auto-generated transaction details
2024-11-15,22:36:21,T6889163,AC54441418,Adani Enterprises,AC25275068,Tata Consultancy Services,Education,6234.84,Debit,Auto-generated transaction details
2024-11-15,22:36:21,T9493975,AC14419775,Rajesh,AC75520868,Arjun,Shopping,7342.18,Debit,Auto-generated transaction details
2024-11-15,22:36:21,T1426801,AC21186348,Hindustan Unilever,AC80608493,Meera,Utilities,1406.62,Credit,Auto-generated transaction details
2024-11-15,22:36:21,T8910834,AC48729090,Diya,AC50274112,State Bank of India,Healthcare,1536.96,Credit,Auto-generated transaction details
2024-11-15,22:36:21,T5377384,AC43583967,Pooja,AC52583768,Siddharth,Healthcare,9739.52,Credit,Auto-generated transaction details
2024-11-16,22:36:21,T3548253,AC75979611,Sneha,AC51020343,Kabir,Entertainment,614.08,Credit,Auto-generated transaction details
2024-11-16,22:36:21,T9760796,AC18258776,Meera,AC16858727,Priya,Utilities,6058.49,Debit,Auto-generated transaction details
2024-11-16,22:36:21,T6749249,AC86729632,Axis Bank,AC69685929,Aarav,Education,3686.77,Debit,Auto-generated transaction details
2024-11-16,22:36:21,T3024983,AC71341543,Aditi,AC84719787,Kabir,Utilities,9862.81,Debit,Auto-generated transaction details
2024-11-16,22:36:21,T2878108,AC36502190,Axis Bank,AC32666134,Hindustan Unilever,Transport,4571.52,Debit,Auto-generated transaction details
2024-11-17,22:36:21,T8891954,AC72738436,HDFC Bank,AC82613407,Pooja,Education,1701.58,Credit,Auto-generated transaction details
2024-11-17,22:36:21,T7064961,AC23237629,Vikram,AC21946446,Akash,Food,2197.52,Credit,Auto-generated transaction details
2024-11-17,22:36:21,T3141954,AC25917722,Tata Consultancy Services,AC35940858,Neha,Shopping,621.6,Credit,Auto-generated transaction details
2024-11-18,22:36:21,T4220279,AC15235730,Lakshmi,AC10591390,Karthik,Transport,2985.41,Credit,Auto-generated transaction details
2024-11-18,22:36:21,T6127227,AC88135702,Wipro,AC92641993,Ananya,Food,5368.21,Credit,Auto-generated transaction details
2024-11-19,22:36:21,T9219513,AC16693246,Meera,AC24958136,ICICI Bank,Transport,729.04,Credit,Auto-generated transaction details
2024-11-19,22:36:21,T4499180,AC95512494,Aditi,AC28391337,Karthik,Education,9435.26,Credit,Auto-generated transaction details
2024-11-19,22:36:21,T8484797,AC66952436,Bajaj Finserv,AC32329946,Pooja,Miscellaneous,7194.4,Debit,Auto-generated transaction details
2024-11-19,22:36:21,T6701153,AC19808704,Vikram,AC95581161,Vikram,Miscellaneous,4220.81,Credit,Auto-generated transaction details
2024-11-19,22:36:21,T9511296,AC81437896,Siddharth,AC45601840,Arjun,Miscellaneous,2962.99,Debit,Auto-generated transaction details
2024-11-19,22:36:21,T2607923,AC26375827,Arjun,AC16198836,Priya,Entertainment,6643.88,Credit,Auto-generated transaction details
2024-11-19,22:36:21,T7681737,AC37051569,Meera,AC25988836,Neha,Entertainment,8612.95,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T7049580,AC77674396,Kabir,AC81709251,Wipro,Healthcare,7313.28,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T2234533,AC50472273,Sneha,AC62952017,Pooja,Shopping,2732.19,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T8697229,AC79401587,Aarav,AC84779147,Ishita,Transport,4552.79,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T5439501,AC40627900,Vikram,AC71208019,Siddharth,Transport,8575.47,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T1284726,AC93206389,Vikram,AC14570470,Wipro,Miscellaneous,8693.15,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T5049252,AC98047783,Rajesh,AC63788105,Akash,Entertainment,5771.67,Debit,Auto-generated transaction details
2024-11-20,22:36:21,T4754265,AC47010251,Hindustan Unilever,AC70314395,Maruti Suzuki,Food,2024.54,Credit,Auto-generated transaction details
2024-11-20,22:36:21,T2864012,AC16970986,Infosys,AC45008695,Siddharth,Entertainment,3214.68,Debit,Auto-generated transaction details
2024-11-20,22:36:21,T1344882,AC65858111,Lakshmi,AC57734219,Ishita,Food,7902.55,Credit,Auto-generated transaction details
2024-11-21,22:36:21,T9437789,AC31242558,Axis Bank,AC84435677,Vikram,Shopping,7959.03,Debit,Auto-generated transaction details
2024-11-21,22:36:21,T4345657,AC47469383,Bajaj Finserv,AC32637989,Adani Enterprises,Healthcare,8570.84,Credit,Auto-generated transaction details
2024-11-21,22:36:21,T3537107,AC47446244,Hindustan Unilever,AC98797052,Axis Bank,Utilities,9371.78,Credit,Auto-generated transaction details
2024-11-21,22:36:21,T2963347,AC38992610,Pooja,AC98759676,Kabir,Healthcare,2619.85,Credit,Auto-generated transaction details
2024-11-21,22:36:21,T3494737,AC46229362,Mahindra & Mahindra,AC80814292,Tata Consultancy Services,Education,7738.41,Debit,Auto-generated transaction details
2024-11-21,22:36:21,T3134298,AC33481050,Ishita,AC57227743,Lakshmi,Utilities,6183.83,Credit,Auto-generated transaction details
2024-11-21,22:36:21,T9491905,AC60362866,Aarav,AC76968877,Larsen & Toubro,Entertainment,9595.51,Debit,Auto-generated transaction details
2024-11-21,22:36:21,T6135761,AC95084589,Siddharth,AC68672035,Kabir,Utilities,6135.62,Credit,Auto-generated transaction details
2024-11-22,22:36:21,T6351551,AC37653025,Bajaj Finserv,AC65517078,Wipro,Education,9065.69,Credit,Auto-generated transaction details
2024-11-22,22:36:21,T7233398,AC40920302,Bajaj Finserv,AC57301656,State Bank of India,Food,3666.7,Credit,Auto-generated transaction details
2024-11-23,22:36:21,T4208132,AC33142058,Axis Bank,AC28413691,Kabir,Utilities,2556.47,Debit,Auto-generated transaction details
2024-11-23,22:36:21,T6467381,AC79189081,Kabir,AC38890389,Adani Enterprises,Miscellaneous,687.0,Debit,Auto-generated transaction details
2024-11-23,22:36:21,T5349017,AC38388403,Tata Consultancy Services,AC31987836,Kabir,Entertainment,4949.22,Debit,Auto-generated transaction details
2024-11-23,22:36:21,T7046930,AC38423410,Infosys,AC19666413,Ananya,Education,6970.23,Credit,Auto-generated transaction details
2024-11-23,22:36:21,T6562361,AC50244432,Mahindra & Mahindra,AC82645130,Diya,Miscellaneous,7575.83,Debit,Auto-generated transaction details
2024-11-23,22:36:21,T7118388,AC82225896,Wipro,AC79826704,Adani Enterprises,Education,386.89,Debit,Auto-generated transaction details
2024-11-24,22:36:21,T2069484,AC54283217,Axis Bank,AC61204016,Vikram,Transport,2639.71,Credit,Auto-generated transaction details
2024-11-24,22:36:21,T8238382,AC38607240,Diya,AC27806367,Karthik,Healthcare,2247.32,Debit,Auto-generated transaction details
2024-11-24,22:36:21,T1054557,AC32463047,Neha,AC74595537,Larsen & Toubro,Entertainment,3769.75,Credit,Auto-generated transaction details
2024-11-24,22:36:21,T5158444,AC78522537,Siddharth,AC48739797,Priya,Education,1381.86,Debit,Auto-generated transaction details
2024-11-25,22:36:21,T5670813,AC74948306,Bajaj Finserv,AC32026493,Siddharth,Shopping,6346.23,Debit,Auto-generated transaction details
2024-11-25,22:36:21,T9453891,AC33750824,Nikhil,AC38441483,Nikhil,Shopping,4563.44,Debit,Auto-generated transaction details
2024-11-25,22:36:21,T4292196,AC67303781,Sneha,AC40089497,Karthik,Transport,1093.22,Credit,Auto-generated transaction details
2024-11-26,22:36:21,T3402601,AC89443878,Hindustan Unilever,AC95398059,State Bank of India,Entertainment,3889.31,Debit,Auto-generated transaction details
2024-11-26,22:36:21,T2215639,AC73443047,Nikhil,AC74833370,Ishita,Utilities,1802.12,Credit,Auto-generated transaction details
2024-11-26,22:36:21,T8180460,AC54612957,Hindustan Unilever,AC87934075,Lakshmi,Entertainment,4782.67,Debit,Auto-generated transaction details
2024-11-26,22:36:21,T8102191,AC94995298,Karthik,AC66431774,Kabir,Transport,5769.23,Debit,Auto-generated transaction details
2024-11-26,22:36:21,T9709731,AC92730543,State Bank of India,AC44370110,Tata Consultancy Services,Shopping,9851.7,Credit,Auto-generated transaction details
2024-11-26,22:36:21,T9112163,AC10187632,Wipro,AC75857483,Siddharth,Transport,8828.78,Credit,Auto-generated transaction details
2024-11-26,22:36:21,T7234219,AC23598742,Karthik,AC35544839,Wipro,Shopping,1669.22,Debit,Auto-generated transaction details
2024-11-26,22:36:21,T3131496,AC47003454,Akash,AC22700731,Maruti Suzuki,Transport,7659.27,Debit,Auto-generated transaction details
2024-11-26,22:36:21,T5381216,AC90486882,Pooja,AC31696559,Diya,Miscellaneous,6742.56,Debit,Auto-generated transaction details
2024-11-27,22:36:21,T5171621,AC75121325,Siddharth,AC96525792,Diya,Shopping,772.15,Debit,Auto-generated transaction details
2024-11-27,22:36:21,T5058708,AC94686588,Lakshmi,AC49791503,Arjun,Shopping,5930.32,Credit,Auto-generated transaction details
2024-11-27,22:36:21,T8063167,AC24607713,Vikram,AC70841108,Diya,Education,7511.64,Debit,Auto-generated transaction details
2024-11-27,22:36:21,T5133851,AC43763679,Priya,AC53824699,ICICI Bank,Shopping,6776.87,Credit,Auto-generated transaction details
2024-11-27,22:36:21,T9859829,AC24480436,Bharti Airtel,AC69697916,Diya,Miscellaneous,5915.17,Credit,Auto-generated transaction details
2024-11-28,22:36:21,T4166329,AC84836275,Kabir,AC47452311,Diya,Miscellaneous,4424.91,Credit,Auto-generated transaction details
2024-11-29,22:36:21,T3537191,AC37335329,Hindustan Unilever,AC67683402,Bharti Airtel,Utilities,4239.35,Debit,Auto-generated transaction details
2024-11-29,22:36:21,T8451122,AC12443882,Pooja,AC46890562,Mahindra & Mahindra,Utilities,336.61,Debit,Auto-generated transaction details
2024-11-29,22:36:21,T4631898,AC91025436,Arjun,AC28850355,Larsen & Toubro,Education,8761.8,Debit,Auto-generated transaction details
2024-11-29,22:36:21,T2670222,AC93428549,Neha,AC92111162,Ishita,Utilities,3610.7,Credit,Auto-generated transaction details
2024-11-29,22:36:21,T8698576,AC79244881,Ishita,AC66122693,Vikram,Entertainment,9565.23,Debit,Auto-generated transaction details
2024-11-29,22:36:21,T1273569,AC24999770,Neha,AC40362675,Sneha,Miscellaneous,4413.46,Debit,Auto-generated transaction details
2024-11-30,22:36:21,T2110406,AC30758750,Larsen & Toubro,AC48835149,Larsen & Toubro,Food,3048.27,Credit,Auto-generated transaction details
2024-11-30,22:36:21,T9113163,AC64325231,Wipro,AC43696137,Karthik,Utilities,2788.76,Credit,Auto-generated transaction details
2024-11-30,22:36:21,T6831157,AC64067102,Aditi,AC36891248,Neha,Education,6164.59,Credit,Auto-generated transaction details
2024-11-30,22:36:21,T8893199,AC53323350,Bajaj Finserv,AC35582952,Aarav,Food,7087.09,Credit,Auto-generated transaction details
2024-11-30,22:36:21,T2850330,AC38009631,Karthik,AC50065922,Bharti Airtel,Education,2513.58,Debit,Auto-generated transaction details
2024-11-30,22:36:21,T6768908,AC51234875,Ishita,AC89650260,State Bank of India,Healthcare,9325.88,Credit,Auto-generated transaction details
2024-11-30,22:36:21,T3512315,AC66985907,Pooja,AC89648928,Hindustan Unilever,Transport,8479.71,Credit,Auto-generated transaction details
2024-11-30,22:36:21,T2426067,AC71921843,Hindustan Unilever,AC50146383,Maruti Suzuki,Shopping,9292.33,Debit,Auto-generated transaction details
2024-12-01,22:36:21,T7212653,AC45375303,Ananya,AC31880944,Reliance Industries,Miscellaneous,4875.13,Debit,Auto-generated transaction details
2024-12-01,22:36:21,T2537535,AC52323976,ICICI Bank,AC41813240,Bharti Airtel,Healthcare,7934.11,Debit,Auto-generated transaction details
